,feature_end,feature_start,feature_type
0,134346189,134346174,5'-UTR
1,134375575,134371169,3'-UTR
2,134346370,134346174,Exon
3,134349111,134348894,Exon
4,134351922,134349840,Exon
5,134353336,134353130,Exon
6,134354006,134353860,Exon
7,134354780,134354638,Exon
8,134357195,134357112,Exon
9,134357949,134357760,Exon
10,134358294,134358096,Exon
11,134358832,134358745,Exon
12,134360177,134360072,Exon
13,134360527,134360334,Exon
14,134361569,134361471,Exon
15,134362681,134362553,Exon
16,134363483,134363242,Exon
17,134366967,134366811,Exon
18,134367647,134367555,Exon
19,134375575,134371126,Exon
