,feature_end,feature_start,feature_type
0,46765572,46765083,5'-UTR
1,46840054,46837864,3'-UTR
2,46765815,46765083,Exon
3,46766127,46765975,Exon
4,46771983,46771823,Exon
5,46772161,46772077,Exon
6,46772826,46772667,Exon
7,46773084,46772895,Exon
8,46774260,46774184,Exon
9,46775047,46774859,Exon
10,46776617,46776437,Exon
11,46780593,46780472,Exon
12,46780992,46780818,Exon
13,46782334,46782161,Exon
14,46783743,46783549,Exon
15,46784312,46784176,Exon
16,46784729,46784525,Exon
17,46785180,46785030,Exon
18,46786806,46786680,Exon
19,46789213,46789124,Exon
20,46791648,46791512,Exon
21,46792532,46792337,Exon
22,46797933,46797804,Exon
23,46799102,46798988,Exon
24,46799863,46799688,Exon
25,46800149,46800009,Exon
26,46801869,46801743,Exon
27,46802035,46801977,Exon
28,46804918,46804823,Exon
29,46806223,46806037,Exon
30,46810323,46810230,Exon
31,46811736,46811625,Exon
32,46812133,46812019,Exon
33,46817326,46817143,Exon
34,46818490,46818361,Exon
35,46819519,46819354,Exon
36,46819722,46819632,Exon
37,46822854,46822749,Exon
38,46829694,46829580,Exon
39,46831050,46830949,Exon
40,46831424,46831291,Exon
41,46832728,46832556,Exon
42,46837955,46837748,Exon
43,46840054,46839860,Exon
