,feature_end,feature_start,feature_type
0,47495261,47495209,5'-UTR
1,47735434,47733277,3'-UTR
2,47495337,47495209,Exon
3,47531399,47531309,Exon
4,47533805,47533666,Exon
5,47537001,47536901,Exon
6,47545683,47545575,Exon
7,47549512,47549431,Exon
8,47581459,47581343,Exon
9,47614269,47614205,Exon
10,47621674,47621578,Exon
11,47623013,47622815,Exon
12,47627468,47627410,Exon
13,47628125,47628047,Exon
14,47630442,47630283,Exon
15,47644831,47644736,Exon
16,47675001,47674945,Exon
17,47675603,47675509,Exon
18,47682527,47682443,Exon
19,47683115,47683010,Exon
20,47684537,47684454,Exon
21,47684832,47684741,Exon
22,47694478,47694416,Exon
23,47694730,47694567,Exon
24,47695711,47695629,Exon
25,47697645,47697587,Exon
26,47698886,47698795,Exon
27,47703328,47703125,Exon
28,47723086,47722951,Exon
29,47727418,47727288,Exon
30,47730399,47730291,Exon
31,47732499,47732358,Exon
32,47735434,47733139,Exon
