,feature_end,feature_start,feature_type
0,148577649,148560846,5'-UTR
1,148596267,148594640,3'-UTR
2,148561115,148560846,Exon
3,148566880,148566849,Exon
4,148568877,148568735,Exon
5,148577512,148577357,Exon
6,148577824,148577614,Exon
7,148579708,148579605,Exon
8,148580754,148580539,Exon
9,148581868,148581795,Exon
10,148582538,148582332,Exon
11,148583877,148583825,Exon
12,148587951,148587787,Exon
13,148589045,148588993,Exon
14,148589833,148589660,Exon
15,148590604,148590552,Exon
16,148591373,148591200,Exon
17,148592134,148592082,Exon
18,148592963,148592790,Exon
19,148593783,148593677,Exon
20,148596267,148594396,Exon
