,feature_end,feature_start,feature_type
0,30882188,30882107,5'-UTR
1,30894235,30893987,3'-UTR
2,30882246,30882107,Exon
3,30882814,30882581,Exon
4,30883014,30882932,Exon
5,30883232,30883131,Exon
6,30883644,30883522,Exon
7,30883824,30883757,Exon
8,30884026,30883928,Exon
9,30884736,30884654,Exon
10,30885001,30884881,Exon
11,30885583,30885471,Exon
12,30886692,30886603,Exon
13,30887625,30887534,Exon
14,30887993,30887865,Exon
15,30888213,30888109,Exon
16,30888526,30888444,Exon
17,30888918,30888841,Exon
18,30889082,30889006,Exon
19,30889468,30889365,Exon
20,30889772,30889701,Exon
21,30890018,30889892,Exon
22,30890331,30890226,Exon
23,30890551,30890482,Exon
24,30890753,30890674,Exon
25,30891008,30890880,Exon
26,30891282,30891129,Exon
27,30892337,30892130,Exon
28,30893162,30893050,Exon
29,30893496,30893320,Exon
30,30893785,30893656,Exon
31,30894235,30893885,Exon
