,feature_end,feature_start,feature_type
0,144192371,144184251,5'-UTR
1,145339512,145339510,3'-UTR
2,144184424,144184251,Exon
3,144185185,144185133,Exon
4,144186000,144185827,Exon
5,144191577,144191468,Exon
6,144192378,144192205,Exon
7,144193149,144193097,Exon
8,144198692,144198519,Exon
9,144199453,144199401,Exon
10,144200278,144200105,Exon
11,144223374,144223265,Exon
12,144224175,144224002,Exon
13,144824756,144824704,Exon
14,145313506,145313333,Exon
15,145314267,145314215,Exon
16,145315076,145314903,Exon
17,145334792,145334683,Exon
18,145335561,145335388,Exon
19,145336332,145336280,Exon
20,145337101,145336928,Exon
21,145337862,145337810,Exon
22,145338689,145338516,Exon
23,145339512,145339403,Exon
