,feature_end,feature_start,feature_type
0,145293405,145293370,5'-UTR
1,146467744,146466121,3'-UTR
2,145293580,145293370,Exon
3,145295525,145295422,Exon
4,145296571,145296356,Exon
5,145297691,145297618,Exon
6,145298366,145298154,Exon
7,145299939,145299729,Exon
8,145301822,145301719,Exon
9,145302868,145302653,Exon
10,145303982,145303909,Exon
11,145304652,145304446,Exon
12,145305996,145305944,Exon
13,145310063,145309899,Exon
14,145311154,145311102,Exon
15,145311958,145311785,Exon
16,145312729,145312677,Exon
17,145313506,145313333,Exon
18,145314267,145314215,Exon
19,145315076,145314903,Exon
20,145315899,145315790,Exon
21,145316684,145316511,Exon
22,145317457,145317405,Exon
23,145318226,145318053,Exon
24,145318987,145318935,Exon
25,145319796,145319623,Exon
26,145320619,145320510,Exon
27,145321402,145321229,Exon
28,145322175,145322123,Exon
29,145322944,145322771,Exon
30,145323705,145323653,Exon
31,145324520,145324347,Exon
32,145325343,145325234,Exon
33,145326124,145325951,Exon
34,145331626,145331574,Exon
35,145332395,145332222,Exon
36,145333156,145333104,Exon
37,145333969,145333796,Exon
38,145334792,145334683,Exon
39,145335561,145335388,Exon
40,145336332,145336280,Exon
41,145337101,145336928,Exon
42,145337862,145337810,Exon
43,145338689,145338516,Exon
44,145339512,145339403,Exon
45,145340281,145340108,Exon
46,145341052,145341000,Exon
47,145341821,145341648,Exon
48,145342582,145342530,Exon
49,145343413,145343240,Exon
50,145344236,145344127,Exon
51,145345005,145344832,Exon
52,145345776,145345724,Exon
53,145346545,145346372,Exon
54,145347306,145347254,Exon
55,145348137,145347964,Exon
56,145348960,145348851,Exon
57,145349735,145349562,Exon
58,145350506,145350454,Exon
59,145351275,145351102,Exon
60,145352036,145351984,Exon
61,145352857,145352684,Exon
62,145353680,145353571,Exon
63,145354467,145354294,Exon
64,145355238,145355186,Exon
65,145356009,145355836,Exon
66,145363030,145362978,Exon
67,145363851,145363678,Exon
68,145364674,145364565,Exon
69,145365459,145365286,Exon
70,146420962,146420910,Exon
71,146448546,146448373,Exon
72,146449307,146449255,Exon
73,146450150,146449977,Exon
74,146450973,146450864,Exon
75,146451771,146451598,Exon
76,146452542,146452490,Exon
77,146456531,146456358,Exon
78,146457302,146457250,Exon
79,146458070,146457897,Exon
80,146458831,146458779,Exon
81,146459670,146459497,Exon
82,146460493,146460384,Exon
83,146461291,146461118,Exon
84,146462062,146462010,Exon
85,146462830,146462657,Exon
86,146465259,146465150,Exon
87,146467744,146465877,Exon
