,feature_end,feature_start,feature_type
0,12626012,12625099,5'-UTR
1,12705700,12660087,3'-UTR
2,12626156,12625099,Exon
3,12626480,12626345,Exon
4,12626752,12626620,Exon
5,12627298,12627179,Exon
6,12629136,12629089,Exon
7,12632473,12632296,Exon
8,12633291,12633206,Exon
9,12641307,12641189,Exon
10,12641778,12641650,Exon
11,12641914,12641886,Exon
12,12645788,12645634,Exon
13,12647798,12647699,Exon
14,12650422,12650264,Exon
15,12650834,12650731,Exon
16,12660246,12660013,Exon
17,12705700,12705311,Exon
