,feature_end,feature_start,feature_type
0,122159198,122159084,5'-UTR
1,122407052,122363471,3'-UTR
2,122159248,122159084,Exon
3,122162010,122161942,Exon
4,122165291,122165046,Exon
5,122168545,122168441,Exon
6,122182882,122182714,Exon
7,122187753,122187648,Exon
8,122203072,122203024,Exon
9,122205083,122204912,Exon
10,122205901,122205851,Exon
11,122206696,122206528,Exon
12,122208566,122208488,Exon
13,122209425,122209365,Exon
14,122215333,122215262,Exon
15,122216551,122216415,Exon
16,122217701,122217555,Exon
17,122218769,122218676,Exon
18,122220181,122220107,Exon
19,122227536,122227383,Exon
20,122260810,122260742,Exon
21,122273338,122273240,Exon
22,122283496,122283420,Exon
23,122285466,122285374,Exon
24,122286356,122286252,Exon
25,122287901,122287822,Exon
26,122363756,122363276,Exon
27,122407052,122406947,Exon
